Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
mode,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

This option defines the action to be taken on the BGP server.

Valid options are:

enable
 

enable and/or create the BGP4 configuration. If -handle is specified, then it will be enabled, otherwise created.

delete
 

delete the BGP4 configuration, requires the use of -handle.

disable
 

disable the BGP4 configuration, requires the use of -handle.

modify
 

modify the BGP4 configuration, requires the use of -handle.

reset
 

deletes all BGP4 configurations from the -port_handle and then creates the provided BGP4 configuration.

DEFAULT
 None

IxNetwork-NGPF [M]
 

DESCRIPTION
 

This option defines the action to be taken on the BGP server.

Valid options are:

delete
 

delete the BGP4 configuration, requires the use of -handle.

disable
 

disable the BGP4 configuration, requires the use of -handle.

enable
 

enable and/or create the BGP4 configuration. If -handle is specified, then it will be enabled, otherwise created.

create
 

create the BGP configuration

modify
 

modify the BGP4 configuration, requires the use of -handle.

reset
 

deletes all BGP4 configurations from the -port_handle and then creates the provided BGP4 configuration.

DEFAULT
 None",opt,"delete,disable,enable,create,modify,reset","IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
active,"Supported platforms  Details

IxNetwork-NGPF
 

DESCRIPTION
 

Activates the item

DEFAULT
 

1",bool,"0,1",IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
md5_enable,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

If set to 1, enables MD5 authentication for emulated BGP node.

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

If set to 1, enables MD5 authentication for emulated BGP node.

Valid options are:

0
 

1
 

DEFAULT
 None",bool,"0,1","IxNetwork,IxNetwork-NGPF",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
md5_key,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

The key used for md5 authentication.

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

The key used for md5 authentication.

DEFAULT
 None

DEPENDENCIES
 

Valid in combination with parameter(s)
'md5_enable' | value= '1' |",String,,"IxNetwork,IxNetwork-NGPF",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
port_handle,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

The port on which the BGP neighbor is to be created.

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

The port on which the BGP neighbor is to be created.

DEFAULT
 None",port,,"IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
handle,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

BGP handle used for -mode modify/disable/delete.

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

BGP handle used for -mode modify/disable/delete. When -handle is provided with the /globals value the arguments that configure global protocol setting accept both multivalue handles and simple values. When -handle is provided with a a protocol stack handle or a protocol session handle, the arguments that configure global settings will only accept simple values. In this situation, these arguments will configure only the settings of the parent device group or the ports associated with the parent topology.

DEFAULT
 None",opt,"delete,disable,enable,create,modify,reset","IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
ip_version,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

This option defines the IP version of the BGP4.

Valid options are:

4
 

IPv4

6
 

IPv6

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

This option defines the IP version of the BGP4 neighbor to be configured on the Ixia interface.

Valid options are:

4
 

IPv4

6
 

IPv6

DEFAULT
 

4",opt,"4,6","IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
local_ip_addr,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

The IPv4 address of the Ixia simulated BGP node to be emulated.

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

The IPv4 address of the Ixia simulated BGP node to be emulated.

DEFAULT
 None

DEPENDENCIES
 

Valid in combination with parameter(s)
'ip_version' | value= '4' |",IPV4,,"IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
gateway_ip_addr,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

The gateway IPV4 or IPV6 address of the BGP4 neighbor interface. If this parameter is not provided it will be initialized to the remote_ip_addr value.

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

The gateway IPV4 or IPV6 address of the BGP4 neighbor interface. If this parameter is not provided it will be initialized to the remote_ip_addr value.

DEFAULT
 None",IP,,"IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
remote_ip_addr,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

The IPv4 address of the DUTs interface connected to the emulated BGP port.

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

The IPv4 address of the DUTs interface connected to the emulated BGP port.

DEFAULT
 None

DEPENDENCIES
 

Valid in combination with parameter(s)
'ip_version' | value= '4' |",IPV4,,"IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
local_ipv6_addr,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

The IPv6 address of the BGP node to be emulated by the test port.

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

The IPv6 address of the BGP node to be emulated by the test port.

DEFAULT
 None

DEPENDENCIES
 

Valid in combination with parameter(s)
'ip_version' | value= '6' |",IPV6,,"IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
remote_ipv6_addr,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

The IPv6 address of the DUT interface connected to emulated BGP node.This parameter is mandatory when -mode is create, -ip_version is 6 and parameter -neighbor_type is external, or -neighbor_type is internal and ipv4_mpls_nlri, ipv6_mpls_nlri, ipv4_mpls_vpn_nlri, and ipv6_mpls_vpn_nlri are not enabled.

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

The IPv6 address of the DUT interface connected to emulated BGP node. This parameter is mandatory when -mode is create, -ip_version is 6 and parameter -neighbor_type is external, or -neighbor_type is internal and ipv4_mpls_nlri, ipv6_mpls_nlri, ipv4_mpls_vpn_nlri, and ipv6_mpls_vpn_nlri are not enabled.

DEFAULT
 None

DEPENDENCIES
 

Valid in combination with parameter(s)
'ip_version' | value= '6' |",IPV6,,"IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
local_addr_step,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

Defines the mask and increment step for the next -local_ip_addr or """"""""-local_ipv6_addr"""""""".(DEFAULT = 0.1.0.0 | 0:0:0:0:1::0)

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

Defines the mask and increment step for the next -local_ip_addr or """"""""-local_ipv6_addr"""""""".

DEFAULT
 None",IP,,"IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
remote_addr_step,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

Defines the mask and increment step for the next -remote_ip_addr or """"""""-remote_ipv6_addr"""""""".(DEFAULT = 0.1.0.0 | 0:0:0:0:1::0)

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

Defines the mask and increment step for the next -remote_ip_addr or """"""""-remote_ipv6_addr"""""""".

DEFAULT
 None",IP,,"IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
next_hop_enable,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

This option is used for IPv4 traffic, and enables the use of the BGP NEXT_HOP attributes. When enabled, the IP next hop must be configured (using the -next_hop_ip option).

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

This option is used for IPv4 traffic, and enables the use of the BGP NEXT_HOP attributes. When enabled, the IP next hop must be configured (using the -next_hop_ip option).

Valid options are:

0
 

1
 

DEFAULT
 

1",opt,"FLAG,0,1","IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
next_hop_ip,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

Defines the IP of the next hop. This option is used if the flag -next_hop_enable is set.

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

Defines the IP of the next hop. This option is used if the flag -next_hop_enable is set.

DEFAULT
 None

DEPENDENCIES
 

Valid in combination with parameter(s)
'next_hop_enable' | value= '1' |",IP,,"IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
enable_4_byte_as,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

Allow 4 byte values for -local_as.

DEFAULT
 

0

IxNetwork-NGPF
 

DESCRIPTION
 

Allow 4 byte values for -local_as.

DEFAULT
 

0",bool,"0,1","IxNetwork,IxNetwork-NGPF",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
local_as,"Supported platforms  Details
RANGE 0 - 4294967295
IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

The AS number of the BGP node to be emulated by the test port.

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

The AS number of the BGP node to be emulated by the test port.

DEFAULT
 None",NUMERIC,,"IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
local_as4,"Supported platforms  Details

IxNetwork-NGPF
 

DESCRIPTION
 

The 4 bytes AS number of the BGP node to be emulated by the test port.

DEFAULT
 None

DEPENDENCIES
 

Valid in combination with parameter(s)
'enable_4_byte_as' | value= '1' |",NUMERIC,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
local_as_mode,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

For External BGP type only. This option controls the AS number (local_as) assigned to additional routers.

Valid options are:

fixed
 

(default) the local_as remains fixed.

increment
 

increments the local_as.

DEFAULT
 

fixed

IxNetwork-NGPF
 

DESCRIPTION
 

For External BGP type only. This option controls the AS number (local_as) assigned to additional routers.

Valid options are:

fixed
 

(default) the local_as remains fixed

increment
 

increments the local_as

DEFAULT
 

fixed",opt,"fixed,increment","IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
remote_as,"Supported platforms  Details
RANGE 0 - 4294967295

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

The remote AS.

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

The remote AS. Not supported reason: not supported in NGPF, deprecated in legacy

DEFAULT
 None",NUMERIC,,"IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
