Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
handle,"Supported platforms  Details

IxNetwork
 

DESCRIPTION
 

Valid values are:BGP router handle - handle is returned by procedure emulation_bgp_config. A new route will be added when -mode is add.BGP route handle - Valid only for IxNetwork Tcl API (new api). Handle is returned by procedure emulation_bgp_route_config with 'bgp_routes' key. Valid only for mode remove. The object will be removed.BGP L2Site handle - Valid only for IxNetwork Tcl API (new api). Handle is returned by procedure emulation_bgp_route_config with 'bgp_routes' key. When mode is remove the L2Site will be removed. When mode is add a new label block will be added to the provided L2Site.BGP L3Site handle - Valid only for IxNetwork Tcl API (new api). Handle is returned by procedure emulation_bgp_route_config with 'bgp_routes' key. When mode is remove the L3Site will be removed. When mode is add a new vpn route range will be added to the provided L3Site.

DEFAULT
 None

IxNetwork-NGPF [M]
 

DESCRIPTION
 

Valid values are: BGP router handle - handle is returned by procedure emulation_bgp_config. A new route will be added when -mode is add. BGP route handle - Valid only for IxNetwork Tcl API (new api). Handle is returned by procedure emulation_bgp_route_config with 'bgp_routes' key. Valid only for mode remove. The object will be removed. BGP L2Site handle - Valid only for IxNetwork Tcl API (new api). Handle is returned by procedure emulation_bgp_route_config with 'bgp_routes' key. When mode is remove the L2Site will be removed. When mode is add a new label block will be added to the provided L2Site. BGP L3Site handle - Valid only for IxNetwork Tcl API (new api). Handle is returned by procedure emulation_bgp_route_config with 'bgp_routes' key. When mode is remove the L3Site will be removed. When mode is add a new vpn route range will be added to the provided L3Site.

DEFAULT
 None",ANY,,"IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
route_handle,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

The handle of the BGP route where to take action. Valid for route type: unicast/multicast (ipv4/6_unicast_nlri, ipv4/6_multicast_nlri), mpls (ipv4/6_mpls_nlri), vpn (ipv4/6_mpls_vpn_nlri).

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

The handle of the BGP route where to take action.

DEFAULT
 None

DEPENDENCIES
 

Valid in combination with parameter(s)
'ipv4/6_unicast_nlri or ipv4/6_multicast_nlri or ipv4/6_mpls_nlri or ipv4/6_mpls_vpn_nlri' | value= '1' |",ANY,,"IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
l3_site_handle,"Supported platforms  Details

IxOS/IxNetwork-FT
 

Same as IxNetwork.

IxNetwork
 

DESCRIPTION
 

The handle of the L3 VPN Site where to take action. Valid for route type: vpn (ipv4/6_mpls_vpn_nlri); and mode remove.

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

The handle of the L3 VPN Site where to take action.

DEFAULT
 None

DEPENDENCIES
 

Valid in combination with parameter(s)
'mode' | value= 'remove' |
'ipv4/6_mpls_vpn_nlri' | value= '1' |",ANY,,"IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
mode,"Supported platforms  Details

IxOS/IxNetwork-FT [M]
 

Same as IxNetwork.

IxNetwork [M]
 

DESCRIPTION
 

Specifies either addition or removal of routes from emulated nodes BGP table.Valid for all route types.

DEFAULT
 None

IxNetwork-NGPF [M]
 

DESCRIPTION
 

Specifies either addition or removal of routes from emulated nodes BGP table.

Valid options are:

add
 

Add a new unicast, vpn or ip BGP route. Can also add L3 Sites, L2 Sites, L2 Site LabelBlocks, AD VPLS. (legacy alias)

create
 

Add a new unicast, vpn or ip BGP route. Can also add L3 Sites, L2 Sites, L2 Site LabelBlocks, AD VPLS.

enable
 

Enables the given BGP route handle.

disable
 

Disables the given BGP route handle.

modify
 

Modify the given BGP route handle.

remove
 

Remove the given BGP route handle. (legacy alias)

delete
 

Remove the given BGP route handle.

DEFAULT
 None",opt,"add,create,modify,remove,delete,enable,disable","IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
protocol_name,"Supported platforms  Details

IxNetwork-NGPF
 

DESCRIPTION
 

This is the name of the protocol stack as it appears in the GUI.

DEFAULT
 None",STRING,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
protocol_route_name,"Supported platforms  Details

IxNetwork-NGPF
 

DESCRIPTION
 

This is the name of the protocol stack as it appears in the GUI.

DEFAULT
 None",STRING,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
active,"Supported platforms  Details

IxNetwork-NGPF
 

DESCRIPTION
 

Activates the item

DEFAULT
 None",BOOL,,IxNetwork-NGPF,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
ipv4_unicast_nlri,"Supported platforms  Details

IxNetwork
 

DESCRIPTION
 

Enables the emulation of routes for IPv4 unicast. Learned routes filter is enabled at neighbor level for IxTclProcol, for IxTclNetwork the filters are set in emulation_bgp_config. The priority of the flags is the following VPN (L3 Sites), VPLS (L2 Sites), MPLS, Unicast/Multicast.Only one of the three route categories can be emulated in a single emulation_bgp_route_config call, the selection is made based on priority.

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

Enables the emulation of routes for IPv4 unicast. Learned routes filter is enabled at neighbor level for IxTclProcol, for IxTclNetwork the filters are set in emulation_bgp_config. The priority of the flags is the following VPN (L3 Sites), AD VPLS (L2 VPN), VPLS (L2 Sites), MPLS, Unicast/Multicast. Only one of the three route categories can be emulated in a single emulation_bgp_route_config call, the selection is made based on priority.

DEFAULT
 None",FLAG,,"IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
ipv4_multicast_nlri,"Supported platforms  Details

IxNetwork
 

DESCRIPTION
 

Enables the emulation of routes for IPv4 multicast. Learned routes filter is enabled at neighbor level for IxTclProcol, for IxTclNetwork the filters are set in emulation_bgp_config. The priority of the flags is the following VPN (L3 Sites), VPLS (L2 Sites), MPLS, Unicast/Multicast.Only one of the three route categories can be emulated in a single emulation_bgp_route_config call, the selection is made based on priority.

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

Enables the emulation of routes for IPv4 multicast. Learned routes filter is enabled at neighbor level for IxTclProcol, for IxTclNetwork the filters are set in emulation_bgp_config. The priority of the flags is the following VPN (L3 Sites), AD VPLS (L2 VPN), VPLS (L2 Sites), MPLS, Unicast/Multicast. Only one of the three route categories can be emulated in a single emulation_bgp_route_config call, the selection is made based on priority.

DEFAULT
 None",FLAG,,"IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
ipv4_mpls_nlri,"Supported platforms  Details

IxNetwork
 

DESCRIPTION
 

Enables the emulation of routes for IPv4 MPLS. Learned routes filter is enabled at neighbor level for IxTclProcol, for IxTclNetwork the filters are set in emulation_bgp_config. The priority of the flags is the following VPN (L3 Sites), VPLS (L2 Sites), MPLS, Unicast/Multicast.Only one of the three route categories can be emulated in a single emulation_bgp_route_config call, the selection is made based on priority.

DEFAULT
 None

IxNetwork-NGPF
 

DESCRIPTION
 

Enables the emulation of routes for IPv4 MPLS. Learned routes filter is enabled at neighbor level for IxTclProcol, for IxTclNetwork the filters are set in emulation_bgp_config. The priority of the flags is the following VPN (L3 Sites), AD VPLS (L2 VPN), VPLS (L2 Sites), MPLS, Unicast/Multicast. Only one of the three route categories can be emulated in a single emulation_bgp_route_config call, the selection is made based on priority.

DEFAULT
 None",FLAG,,"IxNetwork,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
