Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
port_list,"List of Ixia ports of which to take ownership. If multiple devices are specified, then this is a list of lists. A single item is of the form card number / port number. So card 2, port 4 would look like 2/4. This parameter depends on 'vport_list' and 'vport_count' parameters. More details are available in the description for parameter 'device'.",interface list,,"IxNetwork [M] , IxOS/IxNetwork-FT [M], IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-port_list 1/2
aggregation_mode,"This parameter represents the aggregation mode that can be set on the card.
Valid options are:
normal: default (all the ports can be used, except the 40Gig ones)
mixed: using this mode, you can set different aggregation modes on each aggregation group
not_supported: the card does not support aggregation
ten_gig_aggregation: 10Gig aggregation mode
ten_gig_fan_out: 10Gig aggregation mode for Multis cards (aka 1X10G in IxNetwork GUI).
three_by_ten_gig_fan_out: 10Gig aggregation mode for Multis cards (aka 3X10G in IxNetwork GUI).
four_by_ten_gig_fan_out: 10Gig aggregation mode for Multis cards (aka 4X10G in IxNetwork GUI).
eight_by_ten_gig_fan_out: 10Gig aggregation mode for Multis cards (aka 8X10G in IxNetwork GUI).
four_by_twenty_five_gig_non_fan_out: 25Gig aggregation mode for Multis cards (aka 4X25G in IxNetwork GUI).
forty_gig_aggregation: 40Gig aggregation mode
forty_gig_fan_out: 40Gig aggregation for Multis cards with FAN out (aka 3x40G in IxNetwork GUI).
forty_gig_normal_mode: 40Gig aggregation for Multis cards with FAN out (aka 1x40G mode in IxNetwork GUI).
hundred_gig_non_fan_out: 100Gig aggregation mode for cards with no FAN out.
single_mode_aggregation: Single Mode aggregation (supported both with IxNetwork and IxTclProtocol)
dual_mode_aggregation: Dual Mode aggregation (supported both with IxNetwork and IxTclProtocol)",param_string,"normal, mixed, not_supported, single_mode_aggregation, dual_mode_aggregation, hundred_gig_non_fan_out, forty_gig_aggregation, forty_gig_fan_out, forty_gig_normal_mode, four_by_twenty_five_gig_non_fan_out, ten_gig_aggregation, ten_gig_fan_out, three_by_ten_gig_fan_out, four_by_ten_gig_fan_out, eight_by_ten_gig_fan_out","IxNetwork, IxOS/IxNetwork-FT,IxNetwork-NGPF",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,#NAME?
aggregation_resource_mode,"This parameter represents the aggregation mode on each resource group on the card.
Valid options are:
normal: default (all the ports can be used, except the 40Gig ones)
ten_gig_aggregation: 10Gig aggregation mode
ten_gig_fan_out: 10Gig aggregation mode for Multis cards (aka 1X10G in IxNetwork GUI).
three_by_ten_gig_fan_out: 10Gig aggregation mode for Multis cards (aka 3X10G in IxNetwork GUI).
four_by_ten_gig_fan_out: 10Gig aggregation mode for Multis cards (aka 4X10G in IxNetwork GUI).
eight_by_ten_gig_fan_out: 10Gig aggregation mode for Multis cards (aka 8X10G in IxNetwork GUI).
four_by_twenty_five_gig_non_fan_out: 25Gig aggregation mode for Multis cards (aka 4X25G in IxNetwork GUI).
forty_gig_aggregation: 40Gig aggregation mode
forty_gig_fan_out: 40Gig aggregation for Multis cards with FAN out (aka 3x40G in IxNetwork GUI).
forty_gig_normal_mode: 40Gig aggregation for Multis cards with FAN out (aka 1x40G mode in IxNetwork GUI).
hundred_gig_non_fan_out: 100Gig aggregation mode for cards with no FAN out.
single_mode_aggregation: Single Mode aggregation (supported both with IxNetwork and IxTclProtocol)
dual_mode_aggregation: Dual Mode aggregation (supported both with IxNetwork and IxTclProtocol)",param_string,"normal, dual_mode_aggregation, single_mode_aggregation, forty_gig_aggregation, hundred_gig_non_fan_out, forty_gig_fan_out, forty_gig_normal_mode, four_by_twenty_five_gig_non_fan_out, ten_gig_aggregation, ten_gig_fan_out, eight_by_ten_gig_fan_out, three_by_ten_gig_fan_out, four_by_ten_gig_fan_out","IxNetwork, IxOS/IxNetwork-FT,IxNetwork-NGPF",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,#NAME?
device,"IP address or name of the chassis. May contain a list of devices. When IxNetwork Tcl API is used this parameter can have one of the following 4 meanings: 1. When 'vport_list' and 'vport_count' parameters are missing, a new chassis is added, virtual ports are created and connected to the real ports specified with 'port_list' parameter. 2. When 'vport_count' is specified this parameter is ignored and 'vport_count' virtual ports are created. They will not be connected. 3. When 'vport_list' exists and -mode is 'connect' a connection to the 'device' chassis will be established. The real ports specified with 'port_list' will be connected to the virtual ports specified with 'vport_list'. The length and structure of the parameters 'port_list' and 'vport_list' must be the same (e.g. -port_list {{2/3 2/4} {1/2 1/3 1/4}} -vport_list {{0/0/1 0/0/2} {0/0/3 0/0/4 0/0/5}}). 4. When 'vport_list' exists and -mode is 'disconnect' this parameter will be ignored and the virtual ports specified with 'vport_list' will be disconnected from the real ports they are currently connected to.",ip_address,,"IxNetwork,, IxOS/IxNetwork-FT,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-device 1.1.1.1
helper,,"device, port_list",,,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
username,"Username for logging in on the chassis.

This parameter is ignored when using IxTclNetwork (new API) for connecting to an IxNetwork TCL Server. In this case, the username will be configured automatically at ::<namespace>::interface_config and will have the value 'IxNetwork/$(COMPUTERNAME)/$(USERNAME)'.",name,,"IxNetwork, IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,#NAME?
reset,"Resets the card to factory defaults.

When IxTclNetwork is used, the presence of this flag will reset all previous connections to chassis and ports. If this flag is missing and this is the first connect call from the script, the configuration will be imported from the IxNetwork Tcl Server and will be returned as keyed list (see Return Values section).",,,"IxNetwork, IxOS/IxNetwork-FT,IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,#NAME?
break_locks,"Valid choices are:
0 	Force option is not used.
1 	Force option is used when taking ownership.
DEFAULT
	
1",bool_opt,,IxNetwork-NGPF,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
chain_cables_length,"Cable length in ft used for the chassis chain. This can be a value of a
list of values for each slave chassis.Valid values are: '0' (not
applicabale), '3' (3 ft) or '6' (6 ft). Only valid for slave chassis
when master_device parameter is used. If not specified it will default
to 3 for each slave chassis.
DEFAULT
	None
IxNetwork-NGPF
	
DESCRIPTION
	
Cable length in ft used for the chassis chain. This can be a value of a
list of values for each slave chassis. Valid values are: '0' (not
applicabale), '3' (3 ft) or '6' (6 ft). Only valid for slave chassis
when master_device parameter is used. If not specified it will default
to 3 for each slave chassis.
DEFAULT
	None",any,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
chain_sequence,"SequenceID for chassis chain. Only valid for slave chassis when
master_device parameter is used. For more info please consult Ixia
chassis chaining user guide from IxOS or IxNetwork products.
DEFAULT
	None
IxNetwork-NGPF
	
DESCRIPTION
	
SequenceID for chassis chain. Only valid for slave chassis when
master_device parameter is used. For more info please consult Ixia
chassis chaining user guide from IxOS or IxNetwork products.
DEFAULT
	None",any,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
