Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
port_handle,List of ports of which to take ownership and perform configuration. This option takes a list of port handles.,port_list,,"IxNetwork [M], IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-port_handble 1/2
protocol_name,This is the name of the protocol stack as it appears in the GUI.,name,,"IxNetwork [M], IxNetwork-NGPF",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,"-protocol_name name
protocol_handle,Handle for the stack that the user wants to modify or delete.,any,,IxNetwork-NGPF,ixia_only,,-protocol_handle something"""""""""
mode,"Action to be taken on the interface selected. This option takes a list of values when -port_handle is a list of port handles. This option is valid for the old and the new APIs. Valid options are:configdestroy - clear all interfaces before configuring new ones.modify - Valid only when using IxTclNetwork. When ::::interface_config is provided with -port_handle parameter, -mode modify and other supported parameters, except -interface_handle, the modification is supported for L1 parameters only. When ::::interface_config is provided with -port_handle parameter, -mode modify and other supported parameters, including -interface_handle, the modification is supported for L2-L3 parameters also, but only for protocol interfaces (-l23_config_type protocol_interface). Action to be taken on the interface selected. This option takes a list of values when -port_handle is a list of port handles.
Valid options are:
config
modify: Valid only when using IxTclNetwork. When ::ixia::interface_config is provided with -port_handle parameter, -mode modify and other supported parameters, except -interface_handle, the modification is supported for L1 parameters only. When ::ixia::interface_config is provided with -port_handle parameter, -mode modify and other supported parameters, including -interface_handle, the modification is supported for L2-L3 parameters also, but only for protocol interfaces (-l23_config_type protocol_interface).
destroy: clear all interfaces before configuring new ones.",mode,"config, modify, destroy","IxNetwork, IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,#NAME?
intf_ip_addr,List of IP addresses that configure each of the traffic generation tool interfaces.This option takes a list of values when -port_handle is a list of port handles. This option is valid for the old and the new APIs.,ip_list,,"IxNetwork, IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-intf_ip_addr 1.1.1.1
netmask,Network mask used for IP address configuration of the traffic generation tool interfaces. This option is valid for the old and the new APIs.,net_mask,,"IxNetwork, IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-netmask 00:00:00:11:22:33
autonegotiation,"Whether to enable auto-negotiation on each interface. When the new IxNetwork TCL API is used and the autonegotiation is enabled, the autonegotiation is performed using all the existing Ethernet speed/duplex combinations: 1000, 100full, 100half, 10full and 10half. The feature from HLTAPI 2.90, which allowed the user to select only a subset of speed/duplex combinations to be used in the autonegotiation process, is not supported by IxNetwork at this moment. If the autonegotition is enabled, the speed and duplex options are ignored. This option takes a list of values when -port_handle is a list of port handles. Valid options are: 0 - Disable 1 - Enable (DEFAULT)",opt,,"IxNetwork, IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-autonegotiation 0
port_rx_mode,"Configure the Receive Engine of the Ixia port. This option takes a list of values when -port_handle is a list of capture - Capture packets. This is valid for the old and new API (IxTclProcol and IxTclNetwork).latency - Calculate latency. This is valid for the old API (IxTclProcol).data_integrity - Check data integrity. This is valid for the old API (IxTclProcol).sequence_checking - Check data sequencing. This is valid for the old API (IxTclProcol).packet_group - Compile statistics for specified packet group. PGID is 2 bytes. This is valid for the old and new API (IxTclProcol and IxTclNetwork).wide_packet_group - Compile statistics for specified packet group. PGID is 4 bytes, but only the low order 17 bits are active. This is valid for the old and new API (IxTclProcol and IxTclNetwork).auto_detect_instrumentation - Automatic instrumentation detection This option includes wide_packet_group mode also. If this option is set then, for PGID, data integrity checking and sequence checking there will be no need for specifying signature offset, only signature value will be provided. This is valid for old and new API (IxTclProcol and IxTclNetwork).echo - Gigabit echo mode. This is valid for the old API (IxTclProcol).capture_and_measure - This is valid only for new API (IxTclNetwork).

Configure the Receive Engine of the Ixia port. This option takes a list of values when -port_handle is a list of port handles.

Valid options are:
capture: Capture packets.
packet_group: Compile statistics for specified packet group. PGID is 2 bytes.
data_integrity: Check data integrity.
sequence_checking: Check data sequencing.
wide_packet_group: Compile statistics for specified packet group. PGID is 4 bytes,but only the low order 17 bits are active.
echo: Gigabit echo mode.
auto_detect_instrumentation: Automatic instrumentation detection. This option includes wide_packet_group mode also. If this option is set then, for PGID, data integrity checking and sequence checking there will be no need for specifying signature offset, only signature value will be provided.
capture_and_measure: This is valid only for new API (IxTclNetwork)",mode,"capture, packet_group, data_integrity, sequence_checking, wide_packet_group, echo, auto_detect_instrumentation, capture_and_measure","IxOS/IxNetwork-FT, IxNetwork, IxNetwork-NGPF",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,#NAME?
sequence_checking,Whether to enable the frame sequence capability on this port. This option takes a list of values when -port_handle is a list of port handles. This is valid for the old API (IxTclProtocol). Valid options are:0 - (default) Disable1 - Enable,opt,,"IxOS/IxNetwork-FT, IxNetwork, IxNetwork-NGPF",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-sequence_checking 1
speed,Speed at which each interface is configured. This option takes a list of values when -port_handle is a list of port handles.,opt,"ether10,ether100,ether1000,oc3,oc12,oc48,oc192,ether10000wan,ether10000lan,ether40000lan,ether100000lan,ether10Gig,ether25Gig,ether40Gig,ether100Gig,auto,fc2000,fc4000,fc8000,ether100vm,ether1000vm,ether2000vm,ether3000vm,ether4000vm,ether5000vm,ether6000vm,ether7000vm,ether8000vm,ether9000vm,ether10000vm","IxOS/IxNetwork-FT, IxNetwork, IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
duplex,"Whether duplex is full or half. This option takes a list of values when -port_handle is a list of port handlesValid options are:
half: half duplex
full: full duplex
auto: selects both full and half duplex",opt,"half,full,auto","IxOS/IxNetwork-FT, IxNetwork, IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
