Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
admin_group,"The administrative group associated with the link, expressed as the
decimal equivalent of 32-bit number. in 4-byte hex format.
DEFAULT
	None",hex,,IxNetwork-NGPF,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
bw_priority0,"If '-line_te' is 1, then this value indicates the amount of bandwidth,
in bytes per second, not yet reserved at the 0 priority level. This
value corresponds to the bandwidth that can be reserved with a setup
priority of 0. The value must be less than the linke_te_max_resv_bw option.
DEFAULT
	None",any,,IxNetwork-NGPF,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
bw_priority1,"If '-line_te' is 1, then this value indicates the amount of bandwidth,
in bytes per second, not yet reserved at the 1 priority level. This
value corresponds to the bandwidth that can be reserved with a setup
priority of 1. The value must be less than the linke_te_max_resv_bw option.
DEFAULT
	None",any,,IxNetwork-NGPF,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
bw_priority2,"If '-line_te' is 1, then this value indicates the amount of bandwidth,
in bytes per second, not yet reserved at the 1 priority level. This
value corresponds to the bandwidth that can be reserved with a setup
priority of 1. The value must be less than the linke_te_max_resv_bw option.
DEFAULT
	None",any,,IxNetwork-NGPF,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
bw_priority3,"If '-line_te' is 1, then this value indicates the amount of bandwidth,
in bytes per second, not yet reserved at the 1 priority level. This
value corresponds to the bandwidth that can be reserved with a setup
priority of 1. The value must be less than the linke_te_max_resv_bw option.
DEFAULT
	None",any,,IxNetwork-NGPF,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
bw_priority4,"If '-line_te' is 1, then this value indicates the amount of bandwidth,
in bytes per second, not yet reserved at the 1 priority level. This
value corresponds to the bandwidth that can be reserved with a setup
priority of 1. The value must be less than the linke_te_max_resv_bw option.
DEFAULT
	None",any,,IxNetwork-NGPF,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
bw_priority5,"If '-line_te' is 1, then this value indicates the amount of bandwidth,
in bytes per second, not yet reserved at the 1 priority level. This
value corresponds to the bandwidth that can be reserved with a setup
priority of 1. The value must be less than the linke_te_max_resv_bw option.
DEFAULT
	None",any,,IxNetwork-NGPF,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
bw_priority6,"If '-line_te' is 1, then this value indicates the amount of bandwidth,
in bytes per second, not yet reserved at the 1 priority level. This
value corresponds to the bandwidth that can be reserved with a setup
priority of 1. The value must be less than the linke_te_max_resv_bw option.
DEFAULT
	None",any,,IxNetwork-NGPF,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
bw_priority7,"If '-line_te' is 1, then this value indicates the amount of bandwidth,
in bytes per second, not yet reserved at the 1 priority level. This
value corresponds to the bandwidth that can be reserved with a setup
priority of 1. The value must be less than the linke_te_max_resv_bw option.
DEFAULT
	None",any,,IxNetwork-NGPF,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
connected_to_handle,"Scenario element this connector is connecting to
DEFAULT
	None",any,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
