Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
dce_bcast_root_pri,"Broadcast root priority. This is valid for -type dce_network_range.
DEFAULT
	
65535",range,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
dce_bcast_root_pri_step,"Broadcast root priority step. This is valid for -type dce_network_range.
DEFAULT
	
0",range,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
dce_connection_column,"This is valid for -type dce_outside_link.
DEFAULT
	
1",range,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
dce_connection_row,"This is valid for -type dce_outside_link.
DEFAULT
	
1",range,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
dce_device_id,"This is valid for -type dce_network_range.
DEFAULT
	
1",range,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
dce_device_id_step,"This is valid for -type dce_network_range.
DEFAULT
	
1",range,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
dce_device_pri,"This is valid for -type dce_network_range.
DEFAULT
	
1",range,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
dce_ftag,"This is valid for -type dce_network_range.
DEFAULT
	
1",range,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
dce_ftag_enable,"This is valid for -type dce_network_range.
DEFAULT
	
0",bool_opt,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
dce_include_groups,"This is valid for -type dce_node_mac_group, dce_node_ipv4_group,
dce_node_ipv6_group.
DEFAULT
	
0",bool_opt,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
dce_inter_grp_ucast_step,"This is valid for -type dce_node_mac_group, dce_node_ipv4_group,
dce_node_ipv6_group, dce_mcast_mac_range, dce_mcast_ipv4_group_range,
dce_mcast_ipv6_group_range.
DEFAULT
	None",mac,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
dce_intra_grp_ucast_step,"This is valid for -type dce_node_mac_group, dce_node_ipv4_group,
dce_node_ipv6_group, dce_mcast_mac_range, dce_mcast_ipv4_group_range,
dce_mcast_ipv6_group_range.
DEFAULT
	None",mac,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
dce_linked_router_id,"This is valid for -type dce_outside_link.
DEFAULT
	None",any,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
dce_local_entry_point_column,"This is valid for -type dce_network_range.
DEFAULT
	
1",range,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
dce_local_entry_point_row,"This is valid for -type dce_network_range.
DEFAULT
	
1",range,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
dce_local_link_metric,"This is valid for -type dce_network_range.
DEFAULT
	
1",range,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
