Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
area_id,"The OSPF area ID associated with the interface.
DEFAULT
	None
IxNetwork-NGPF
	
DESCRIPTION
	
The OSPF area ID associated with the interface.
DEFAULT
	
0.0.0.0
DEPENDENCIES
	
Valid in combination with parameter(s)
'area_id_type' | value= 'ip' |",ipv4,,"IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
area_id_as_number,"OSPF Area ID for a non-connected interface, displayed in Integer format
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'area_id_type' | value= 'number' |",numeric,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
area_id_as_number_step,"OSPF Area ID step for a non-connected interface, displayed in Integer format
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'area_id_type' | value= 'number' |",numeric,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
area_id_step,"The OSPF area ID step associated with the -area_id option on the ISPF
interface.
DEFAULT
	None
IxNetwork-NGPF
	
DESCRIPTION
	
The OSPF area ID step associated with the -area_id option on the ISPF
interface.
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'area_id_type' | value= 'ip' |",ipv4,,"IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
area_id_type,"Area ID Type
Valid options are:
number
	
ip
	
area_id_as_number
	
area_id_as_ip
	
DEFAULT
	
ip",opt,"area_id_as_ip,area_id_as_number,ip,number",IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
area_type,"The 'area_type' advertised in the Router LSA interface list.
Valid options are:
external-capable
	
(default) A transit network.
ppp
	
A point-to-point network.
stub
	
A stub network.
DEFAULT
	None",opt,"externalcapable,ppp,stub","IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
atm_encapsulation,"This parameter is not valid on mode modify when IxTclProtocol is used.
The encapsulation of the ATM protocol interface associated with the
emulated router.
DEFAULT
	None",opt,"LLCBridgedEthernetFCS,LLCBridgedEthernetNoFCS,LLCRoutedCLIP,VccMuxBridgedEthernetFCS,VccMuxBridgedEthernetNoFCS,VccMuxIPV4Routed,VccMuxIPV6Routed",IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
attempt_enabled,"Not defined
DEFAULT
	None",bool_opt,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
attempt_interval,"Time interval used to calculate the rate for triggering an action(rate =
count/interval).
DEFAULT
	None",numeric,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
attempt_rate,"Number of times an action is triggered per second.
DEFAULT
	None",range,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
attempt_scale_mode,"Indicates whether the control is specified per port or per device group.
This setting is global for all the ospf protocols configured in the
ixncfg and can be configured just when handle is /globals (when the user
wants to configure just the global settings)
Valid options are:
port
	
device_group
	
DEFAULT
	
port",opt,"device_group,port",IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
authentication_mode,"This option defines the authentification mode used for OSPF.
Valid options are:
null
	
(default) No authentication
simple
	
Clear text authentication (see also -password)
md5
	
MD5 based authentication (see also -md5_key and -md5_key_id)
DEFAULT
	None
IxNetwork-NGPF
	
DESCRIPTION
	
This option defines the authentification mode used for OSPF.
Valid options are:
null
	
(default) No authentication
simple
	
Clear text authentication (see also -password)
md5
	
MD5 based authentication (see also -md5_key and -md5_key_id)
DEFAULT
	None",opt,"md5,null,simple","IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
bfd_registration,"Enable or disable BFD registration.
DEFAULT
	
0
IxNetwork-NGPF
	
DESCRIPTION
	
Enable or disable BFD registration.
DEFAULT
	
0",bool_opt,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
count,"Defines the number of OSPF routers to configure on the -port_handle.
DEFAULT
	None
IxNetwork-NGPF
	
DESCRIPTION
	
Defines the number of OSPF routers to configure on the -port_handle.
DEFAULT
	
1",range,,"IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
dead_interval,"The time after which the DUT router is considered dead if it does not
send HELLO messages.
DEFAULT
	None
IxNetwork-NGPF
	
DESCRIPTION
	
The time after which the DUT router is considered dead if it does not
send HELLO messages.
DEFAULT
	None",range,,"IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
demand_circuit,"Enables the Demand Circuit bit. Pertains to handling of demand circuits
(DCs) by the router. CHOICES 0 1
DEFAULT
	None
IxNetwork-NGPF
	
DESCRIPTION
	
Enables the Demand Circuit bit. Pertains to handling of demand circuits
(DCs) by the router. CHOICES 0 1
DEFAULT
	
0",bool_opt,,"IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
disable_auto_generate_link_lsa,"Support graceful restart helper mode when restart reason is unknown and
unplanned.
DEFAULT
	None",any,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
disconnect_enabled,"Not defined
DEFAULT
	None",bool_opt,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
