Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
adv_router_id,"The router ID of the router that is originating the LSA.
DEFAULT
	None
IxNetwork-NGPF
	
DESCRIPTION
	
The router ID of the router that is originating the LSA.
DEFAULT
	
198.18.1.1",ip,,"IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
area_id,"The area ID of the User LSA Group.This option is valid only for
IxTclNetwork API.
DEFAULT
	
0.0.0.0
IxNetwork-NGPF
	
DESCRIPTION
	
The area ID of the User LSA Group. This option is valid only for
IxTclNetwork API.
DEFAULT
	
0.0.0.0",ip,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
attached_router_id,"A list of router IDs in the area, in IP address format separated by spaces.
DEFAULT
	None
IxNetwork-NGPF
	
DESCRIPTION
	
A list of router IDs in the area, in IP address format separated by spaces.
DEFAULT
	
14.0.0.1",ip,,"IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
auto_ls_age,"Not supported
DEFAULT
	Not supported",any,,"IxNetwork, IxOS/IxNetwork-FT",unsupported,unsupported,"unimplemented",,
auto_ls_checksum,"Not supported
DEFAULT
	Not supported",any,,"IxNetwork, IxOS/IxNetwork-FT",unsupported,unsupported,"unimplemented",,
auto_ls_seq,"Not supported
DEFAULT
	Not supported",any,,"IxNetwork, IxOS/IxNetwork-FT",unsupported,unsupported,"unimplemented",,
auto_update,"Not supported
DEFAULT
	Not supported",any,,"IxNetwork, IxOS/IxNetwork-FT",unsupported,unsupported,"unimplemented",,
external_metric_ebit,"The value of the external metric's E-bit.
DEFAULT
	
0
IxNetwork-NGPF
	
DESCRIPTION
	
The value of the external metric's E-bit.
Valid options are:
1
	
0
	
DEFAULT
	
0",opt,"0,1","IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
external_metric_fbit,"The value of the external metric's F-bit. If true, then the
forwardingAddress field is to be included in the LSA.
DEFAULT
	
1
IxNetwork-NGPF
	
DESCRIPTION
	
The value of the external metric's F-bit. If true, then the
forwardingAddress field is to be included in the LSA.
Valid options are:
1
	
0
	
DEFAULT
	
1",opt,"0,1","IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
external_metric_tbit,"The value of the external metric's T-bit. If true, then the
externalRouteTag field will be included in the LSA.
DEFAULT
	
1
IxNetwork-NGPF
	
DESCRIPTION
	
The value of the external metric's T-bit. If true, then the
externalRouteTag field will be included in the LSA.
Valid options are:
1
	
0
	
DEFAULT
	
1",opt,"0,1","IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
