Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
area_id,"The OSPF area ID associated with the interface. This parameter is valid
for -type router, grid, network. This parameter is valid with
IxTclProtocol and IxTclNetwork.
DEFAULT
	
0.0.0.0",ip,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
bfd_registration,"Enable or disable BFD registration.
DEFAULT
	
0",bool_opt,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
count,"Number of route ranges to be configured. This parameter is valid for
-type summary, ext_routes. This option is available with IxTclNetwork.
DEFAULT
	None
IxNetwork-NGPF
	
DESCRIPTION
	
Number of route ranges to be configured. This parameter is valid for
-type summary, ext_routes. This option is available with IxTclNetwork.
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'type' | value= 'summary' |
'type' | value= 'ext_routes' |",any,,IxNetwork,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
dead_interval,"The number of seconds before declaring a silent router down. This
parameter is valid for -type router, grid, network. This parameter is
valid with IxTclProtocol and IxTclNetwork.
DEFAULT
	
40",range,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
elem_handle,"This option specifies on which topology element to configure the route
options. The user must pass in this option if the 'type' is modify or
delete.This parameter is valid with IxTclProtocol and IxTclNetwork.
DEFAULT
	None
IxNetwork-NGPF
	
DESCRIPTION
	
This option specifies on which topology element to configure the route
options. The user must pass in this option if the 'type' is modify or
delete. This parameter is valid with IxTclProtocol and IxTclNetwork.
DEFAULT
	None",any,,"IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
enable_advertise,"Enables the advertisement of a range of OSPF routers expressed as a
matrix of n x m routers (grid). This parameter is valid for -type
router, grid. This parameter is valid with IxTclProtocol and IxTclNetwork.
DEFAULT
	None
IxNetwork-NGPF
	
DESCRIPTION
	
Enables the advertisement of a range of OSPF routers expressed as a
matrix of n x m routers (grid). This parameter is valid for -type
router, grid. This parameter is valid with IxTclProtocol and IxTclNetwork.
DEFAULT
	
1
DEPENDENCIES
	
Valid in combination with parameter(s)
'type' | value= 'router' |
'type' | value= 'grid' |",bool_opt,,"IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
enable_advertise_loopback,"Used for Traffic Engineering. If checked, a stub interface will be added
to each router with IP = Router ID with a 32-bit mask. (x.x.x.x/32).
This parameter is valid for -type router, grid. This parameter is valid
with IxTclProtocol and IxTclNetwork.
DEFAULT
	
0
IxNetwork-NGPF
	
DESCRIPTION
	
Used for Traffic Engineering. If checked, a stub interface will be added
to each router with IP = Router ID with a 32-bit mask. (x.x.x.x/32).
This parameter is valid for -type router, grid. This parameter is valid
with IxTclProtocol and IxTclNetwork.
DEFAULT
	
0
DEPENDENCIES
	
Valid in combination with parameter(s)
'type' | value= 'router' |
'type' | value= 'grid' |",bool_opt,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
entry_point_address,"The entry point address of the OSPFv3 network range grid.This parameter
is valid for -type grid. This parameter is valid with IxTclNetwork.
DEFAULT
	None",ip,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
entry_point_prefix_length,"The prefix length of the entry point address of the OSPFv3 network range
grid.This parameter is valid for -type grid. This parameter is valid
with IxTclNetwork.
DEFAULT
	None",range,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
external_address_family,"The external route's address family, choices are unicast or multicast
DEFAULT
	
unicast",opt,"multicast,unicast","IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
external_connect,"Not supported
DEFAULT
	Not supported",any,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
external_ip_type,"The external route's ip type choices are ipv4 or ipv6
DEFAULT
	
ipv6",opt,"ipv4,ipv6","IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
