Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
port_handle,"Depending on the traffic_generator value, this option has different meanings. If traffic_generator ixnetwork_540 is used this parameter is used ixos/ixnetwork_540 - The port for which to configure traffic. Mandatory for -mode create/reset when -traffic_generator is set to ixos. For traffic_generator ixnetwork_540 this is mandatory on mode create only if parameter -emulation_src_handle is missing.ixnetwork/ixnetwork_540 - The port_handle parameter is not necessary anymore. When using IxNetwork, traffic configurations will be done using previously created handles (IP interfaces, PPP ranges, L2TP ranges, Protocol Route Ranges etc.) as sources (parameter -emulation_src_handle) and destinations (-emulation_dst_handle).",port,,"IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-port_handle 1/2
mode,"Supported with IxTclHal and IxTclNetwork (addAtmFilter choice is not valid with IxTclNetwork). When mode is create ATM specific configurations and general configurations will be set.The user can set the same pattern_atm for more pairs vpi/vci pairs (see parameters -vpi and -vci).If the user wants to set different pattern_atm for some pairs, he has to call this procedure using -mode addAtmFilter.When using -mode addAtmFilter, only ATM specific configurations will be set and all the other configurations will be ignored. These ATM specific configurations will be appended to the previous ones.This procedure must be called only once with -mode create, otherwise it will overwrite the previous configurations.",opt,"create, addAtmFilter","IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,#NAME?
gfp_bad_fcs_error,"Supported with IxTclHal. If true, then GFP bad FCS errors are used in the filter. This condition is OR'd or AND'd with the other GFP errors based on the setting of the gfp_error_condition option.",opt,,IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-gfp_bad_fcs_error 1
gfp_eHec_error,"Supported with IxTclHal. If true, then GFP extension header HEC errors are used in the filter. This condition is OR'd or AND'd with the other GFP errors based on the setting of the gfp_error_condition option.",opt,,IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-gfp_eHec_error 1
gfp_payload_crc,"Supported with IxTclHal. If true, then GFP payload CRC errors are used in the filter. This condition is OR'd or AND'd with the other GFP errors based on the setting of the gfp_error_condition option.",opt,,IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-gfp_payload_crc 1
gfp_tHec_error,"Supported with IxTclHal. If true, then GFP type header HEC errors are used in the filter. This condition is OR'd or AND'd with the other GFP errors based on the setting of the gfp_error_condition option.",opt,,IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-gfp_tHec_error 1
DA1,"Supported with IxTclHal and IxTclNetwork. Only frames that contain this destination MAC address are filtered, captured or counted.",mac,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-DA1 00:33:44:55:66:77
DA2,"Supported with IxTclHal and IxTclNetwork. Only frames that contain this destination MAC address are filtered, captured or counted.",mac,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-DA2 00:33:44:55:66:77
DA_mask1,"Supported with IxTclHal and IxTclNetwork. A bit mask that allows the user to specify which bits of the DA1 should be used when filtering. If the mask bit is set high, the pattern bit will be used in the filter.",mac,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-DA_mask1 FF:FF:FF:00:00:00
DA_mask2,"Supported with IxTclHal and IxTclNetwork. A bit mask that allows the user to specify which bits of the DA2 should be used when filtering. If the mask bit is set high, the pattern bit will be used in the filter.",mac,,"IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-DA_mask2 FF:FF:FF:00:00:00
