Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
port_handle,Supported with IxTclHal and IxTclNetwork. Associate the command performed by action to the port handle listed,port,,"IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-port_handle 1/2
chunk_size,"This parameter specifies how the average_deviation_per_chunk, standard_deviation_per_chunk, average_deviation and standard_deviation will be computed. For example, if the total number of packets is 12 and the chunk_size is 3, there will be 4 chunks of received packets, for each chunk existing an entry in the average_deviation_per_chunk and standard_deviation_per_chunk. The standard_deviation and average_deviation will be computed as the average of the standard_deviation_per_chunk and average_deviation_per_chunk respectively.If chunk_size is greater than the number if packets, there will be only a chunk of packets. This parameter is valid only for IxTclProtocol.",size,,IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-chunk_size 10000
dirname,This parameter is used in conjunction with the -format parameter.When -format is cap it represents the directory in which the cap files will be saved.When -format is csv it represents the directory in which the csv files will be saved.Valid only for IxTclNetwork.,path,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,#NAME?
enable_ethernet_type,"Supported with IxTclHal. Enables the constraint used to calculate jitter statistics. If enabled, jitter will be calculated only for frames whose frame type field matches the ethernet type set by the option ethernet_type",opt,,IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-enable_ethernet_type 1
enable_framesize,"Supported with IxTclHal. Enables this constraint used to calculate jitter statistics. If enabled, jitter will be calculated only for frames whose size matches the framesize set by the command option framesize.",opt,,IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-enable_framesize 1
enable_pattern,Supported with IxTclHal. Constrain the jitter statistics calculations to frames in the capture buffer that match the ethernet pattern set by the pattern and pattern_offset options.,opt,,IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-enable_pattern 1
ethernet_type,Supported with IxTclHal. Constrain the jitter statistics calculations to frames in the capture buffer that match the ethernet type set by this option. A value such as {08 00} would be appropriate. Does not apply unless option enable_ethernet_type is set to 1.,type,,IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-ethernet_type 1
filename,"Supported with IxTclHal. Used in-conjunction with the format parameter. Specifies the name to save the captured packets.(DEFAULT = ixia-datetime-port_handle.format). Example: ixia-2305062301-104.enc. Dependencies: Mandatory, when format is specified as cap/enc/txt???.",file,,IxOS/IxNetwork-FT,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,#NAME?
format,"Specifies how the data is returned.
Valid options are:
txt: IxTclHal: Returns the data in a text (.txt) file specified by parameter -filename. Aggregate stats keys are also returned. Example: Frames 1 to 2 of 2 Frame,Time Stamp,DA,SA,Type/Length,Data,Frame Length,Status 1 00:00:24.474262360 00 00 DE BB 00 02 00 DE 01 07 03 00 08 00 45 00 00 2C 00 00 00 00 40 FF 5E D0 0C 01 01 01 0D 01 01 01 00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D DE AD BE EF 00 00 48 F0 61 42 5B 3D FF EA 62 Bad Packet 0x0002 2 00:00:24.474305640 00 00 DE BB 00 02 00 DE 01 07 03 00 08 00 45 00 00 2D 00 00 00 00 40 FF 5E CF 0C 01 01 01 0D 01 01 01 00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D DE AD BE EF 00 00 00 48 F0 69 B6 18 71 D4 B2 63 Bad Packet 0x0002 IxTclNetwork: The text file format is not supported. Aggregate stats keys are returned.
cap: IxTclHal (default): Returns the data in a .cap file specified by parameter -filename. Aggregate stats keys are also returned. IxTclNetwork (default): Returns the data in .cap files (for both data and control captured packets) in the folder specified by the -dirname parameter. Aggregate stats keys are also returned.
enc: IxTclHal: Returns the data in binary format for use with NAI's Sniffer program. The file is specified by parameter -filename. Aggregate stats keys are also returned. IxTclNetwork: The enc format is not supported. Aggregate stats keys are returned.
none: IxTclHal: Do not export capture buffer. Aggregate stats keys are returned. IxTclNetwork: Do not export capture buffer. Aggregate stats keys are returned.
var: IxTclHal: Returns a keyed list (aggregate and frame stats). Can be used only if the capture buffer contains a number of frames less or equal than 20 frames. If the capture buffer contains more than 20 frames, the first 20 frames from the capture are returned and a warning will be displayed. IxTclNetwork: Returns a keyed list (aggregate and frame stats). Returns the frames that are between frame_id_start and frame_id_end. If the frame_id_start and frame_id_end are not given only the first 20 frames will be returned.
csv: IxTclHal: Not supported, an error will be returned. IxTclNetwork: A csv file will be returned with the captured frames in the folder specified by the -dirname parameter. The keys data_file and control_file will be returned. These keys contain the names of the files csv files created. Output example: Field Id,Field Display Name,Field Value Packet 0 Display Stack Name: Frame::ixNet::OBJ-/vport:2/capture/currentPacket/stack:""""""""Frame$0""""""""/field:""""""""root$0/Frame$0/Frame is marked$0"""""""",Frame is marked,False ::ixNet::OBJ-/vport:2/capture/currentPacket/stack:""""""""Frame$0""""""""/field:""""""""root$0/Frame$0/Arrival Time$1"""""""",Arrival Time,""""""""Feb 28, 2013 14:41:10.817357000"""""""" ::ixNet::OBJ-/vport:2/capture/currentPacket/stack:""""""""Frame$0""""""""/field:""""""""root$0/Frame$0/Time delta from previous packet$2"""""""",Time delta from previous packet,0.000000000 ::ixNet::OBJ-/vport:2/capture/currentPacket/stack:""""""""Frame$0""""""""/field:""""""""root$0/Frame$0/Time since reference or first frame$3"""""""",Time since reference or first frame,0.000000000 ::ixNet::OBJ-/vport:2/capture/currentPacket/stack:""""""""Frame$0""""""""/field:""""""""root$0/Frame$0/Frame Number$4"""""""",Frame Number,1 ::ixNet::OBJ-/vport:2/capture/currentPacket/stack:""""""""Frame$0""""""""/field:""""""""root$0/Frame$0/Frame length on the wire$5"""""""",Frame length on the wire,38 ::ixNet::OBJ-/vport:2/capture/currentPacket/stack:""""""""Frame$0""""""""/field:""""""""root$0/Frame$0/Frame length stored into the capture file$6"""""""",Frame length stored into the capture file,38 ::ixNet::OBJ-/vport:2/capture/currentPacket/stack:""""""""Frame$0""""""""/field:""""""""root$0/Frame$0/Protocols in frame$7"""""""",Protocols in frame,eth:ip:data Display Stack Name: Ethernet ::ixNet::OBJ-/vport:2/capture/currentPacket/stack:""""""""Ethernet$1""""""""/field:""""""""root$0/Ethernet$1/Destination$0"""""""",Destination,00:00:00:00:00:00 ::ixNet::OBJ-/vport:2/capture/currentPacket/stack:""""""""Ethernet$1""""""""/field:""""""""root$0/Ethernet$1/Source$1"""""""",Source,00:00:00:00:00:00 ::ixNet::OBJ-/vport:2/capture/currentPacket/stack:""""""""Ethernet$1""""""""/field:""""""""root$0/Ethernet$1/Source or Destination Address$2"""""""",Source or Destination Address,00:00:00:00:00:00 ::ixNet::OBJ-/vport:2/capture/currentPacket/stack:""""""""Ethernet$1""""""""/field:""""""""root$0/Ethernet$1/Source or Destination Address$3"""""""",Source or Destination Address,00:00:00:00:00:00 ::ixNet::OBJ-/vport:2/capture/currentPacket/stack:""""""""Ethernet$1""""""""/field:""""""""root$0/Ethernet$1/Type$4"""""""",Type,2048 ::ixNet::OBJ-/vport:2/capture/currentPacket/stack:""""""""Ethernet$1""""""""/field:""""""""root$0/Ethernet$1/Trailer$5"""""""",Trailer,1EB741F2",type,"var, enc, txt, cap, csv, none","IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,#NAME?
frame_id_end,The number of the last frame that needs to be retrieved. The default value is 20. The value of this parameter must be greater than frame_id_start. This parameter is needed for -format var and csv. Valid only for IxTclNetwork.,opt,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-frame_id_end 33
frame_id_start,The number of the first frame that needs to be retrieved. The default value is 1. The value of this parameter must be less than frame_id_end. This parameter is needed for -format var and csv. Valid only for IxTclNetwork.,opt,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-frame_id_start 10
framesize,Supported with IxTclHal. Constrain the jitter statistics calculations to frames in the capture buffer whose frame size matches the value set by this option.,size,,IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-framesize 1099
packet_type,"Supported with IxTclNetwork.It is used to specify the types of frames that will be returned by the packet_stats procedure.Valid values are: data, control or both. The default value is both.",type,"data, control, both",IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,#NAME?
