Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
atm_encapsulation,"The encapsulation of the ATM protocol interface associated with the
emulated router.
DEFAULT
	None",opt,"LLCBridgedEthernetFCS,LLCBridgedEthernetNoFCS,LLCRoutedCLIP,VccMuxBridgedEthernetFCS,VccMuxBridgedEthernetNoFCS,VccMuxIPV4Routed,VccMuxIPV6Routed","IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
authentication_mode,"For RIPv2 only. Valid options are: null, text, md5.
DEFAULT
	None",opt,"md5,null,text","IxNetwork, IxOS/IxNetwork-FT",ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
count,"Define number of sessions to create on the interface.
DEFAULT
	None",numeric,,"IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
expiration_interval,"Not supported
DEFAULT
	Not supported",range,,"IxNetwork, IxOS/IxNetwork-FT",unsupported,unsupported,"unimplemented",,
garbage_interval,"Not supported
DEFAULT
	Not supported",range,,"IxNetwork, IxOS/IxNetwork-FT",unsupported,unsupported,"unimplemented",,
gre_checksum_enable,"This parameter enables/disables the checksum on a GRE interface.Notes:
ignored when -mode = modify.Dependencies: This option is valid only when
-mode is create or -mode is modify and -handle is a RIPng router
interface and -session_type is ripng.0 - disable (Default)1 - enable.
Only available for IxNetwork RIPng.
DEFAULT
	None",bool_opt,,IxNetwork,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
gre_count,"The number of GRE tunnels to be created per directly connected
interface. Only available for IxNetwork RIPngNotes: intf_count *
gre_count cannot be greater than 100.Dependencies: This option is valid
only when -mode is create and/or -gre_ipv6_addr are present and
-session_type is ripng.
DEFAULT
	None",numeric,,IxNetwork,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
gre_dst_ip_addr,"The first GRE tunnel destination IPv4/6 address that will be configured.
Only available for IxNetwork RIPng.Notes: ignored when -mode
modify.Dependencies: This option is valid only when -mode is create or
-mode is modify and -handle is a RIPng router interface and
-session_type is ripng.
DEFAULT
	None",ip,,IxNetwork,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
gre_dst_ip_addr_cstep,"The destination IPv4/6 address incrementing step of the GRE tunnels that
will be configured when passing from a connected interface to another.
Only available for IxNetwork RIPng.Notes: If gre_dst_ip_addr_cstep is
not present, the incrementing is based on gre_dst_ip_addr_step.ignored
when -mode is modifyExample: Please see example under
gre_ipv6_addr_cstep.Dependencies: This option is valid only when -mode
is create and -session_type is ripng.
DEFAULT
	None",ip,,IxNetwork,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
gre_dst_ip_addr_step,"The destination IPv4/6 address incrementing step of the GRE tunnels that
will be configured. Only available for IxNetwork RIPng.(DEFAULT =
0.0.0.0 | 0:0:0:1::0).Notes: ignored when -mode is modifyDependencies:
This option is valid only when -mode is create and -session_type is ripng.
DEFAULT
	None",ip,,IxNetwork,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
