Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
arp_dst_hw_addr,Value of the destination MAC address for arp packets from a particular stream.,mac,,"IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-arp_dst_hw_addr 00:00:00:00:00:00
adjust_rate,"Specialty code meant for limited use. Some hardware (because of the
nature of the input data) will not set the stream rate at the exact rate
specified, and could be off slightly due to gaps, etc. This will
compensate for that by creating two streams in the advanced stream mode
that total the exact value required. This is a very focused feature, not
meant to be used widely. It will be removed when the new hardware
support this capability.
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'traffic_generator' | value= 'ixos' |",,,IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
allow_self_destined,"This argument can be used to specify if it is allowed to send traffic
from routes on an Ixia port to other routes on the same Ixia port. When
using traffic_generator ixnetwork_540, mode create and -port_handle
parameter but without -port_handle2 this parameter will be forced to
'1'. and the source
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'traffic_generator' | value= 'ixnetwork ixnetwork_540' |",bool_opt,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
app_profile_type,"Deprecated Argument. It was used for Legacy AppLib.
DEFAULT
	Not supported
DEPENDENCIES
	
Valid in combination with parameter(s)
'traffic_generator' | value= 'ixnetwork' |",,,IxNetwork,unsupported,unsupported,"unimplemented",,
arp_dst_hw_count,Number of destination MAC addresses used in ARP packets in a particular stream.,count,,"IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-arp_dst_hw_count 100
arp_dst_hw_mode,"This parameter configures the behavior for arp_dst_hw_addr.
Valid options are:
fixed: the value is left unchanged for all packets.
increment: the value is incremented as specified with arp_dst_hw_step and arp_dst_hw_count.
decrement: the value is decremented as specified with arp_dst_hw_step and arp_dst_hw_count.
list: Parameter -arp_dst_hw contains a list of values. Each packet will use one of the values from the list.",count,"fixed, increment, decrement","IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
arp_dst_hw_step,"Step value used to modify arp_dst_hw when arp_dst_hw_mode is incr or decr.
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'traffic_generator' | value= 'ixnetwork_540' |",mac,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
arp_dst_hw_tracking,"Not defined
Valid options are:
0
	
disable tracking by arp_dst_hw_addr
1
	
enable tracking by arp_dst_hw_addr
DEFAULT
	
0
DEPENDENCIES
	
Valid in combination with parameter(s)
'traffic_generator' | value= 'ixnetwork_540' |",bool_opt,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
arp_hw_address_length,"Configure 1 byte HEX value for ARP Hardware Address Length.
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'traffic_generator' | value= 'ixnetwork_540' |",any,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
arp_hw_address_length_count,"Numeric value which configures the number of times the
arp_hw_address_length is incremeneted or decremented when
arp_hw_address_length_mode is incr or decr.
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'traffic_generator' | value= 'ixnetwork_540' |",numeric,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
arp_hw_address_length_mode,"This parameter configures
Valid options are:
fixed
	
the value is left unchanged for all packets.
incr
	
the value is incremented as specified with arp_hw_address_length_step
and arp_hw_address_length_count.
decr
	
the value is decremented as specified with arp_hw_address_length_step
and arp_hw_address_length_count.
list
	
Parameter -arp_hw_address_length contains a list of values. Each packet
will use one of the values from the list.
DEFAULT
	
fixed
DEPENDENCIES
	
Valid in combination with parameter(s)
'traffic_generator' | value= 'ixnetwork_540' |",opt,"incr,fixed,list,decr",IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
