Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
stream_id,"Required for -mode modify/remove/enable/disable/get calls. Stream ID
returned from the traffic_l47_config handles. Stream ID is not required
for configuring a stream for the first time. In this case, the stream ID
is returned by the call.. Valid for Application Library Traffic.
DEFAULT
	
none
DEPENDENCIES
	
Valid in combination with parameter(s)
''mode' | value= 'modify' | 'mode' | value= 'delete' | 'mode' | value=
'enable' | 'mode' | value= 'disable' | 'mode' | value= 'get'' | value= '1' |",any,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
l47_configuration,"Required for -mode modify and -stream_id traffic_item_handler calls
Valid for Application Library Traffic.
Valid options are:
modify_profile_parameters
	
Modify the profile parameter for stream/traffic item.
modify_flow_percentage
	
Modify the flow percentage for a given flow.
modify_flow_parameter
	
Modify the flow parameters for a given flow.
modify_flow_connection_parameter
	
Modify the flow connection parameter for a given flow.
override_flows
	
Override flow from existing stream/traffic item.
append_flow
	
Add a new flow to existing stream/traffic item.
remove_flow
	
Remove flow from existing stream/traffic item.
distribute_flows_percentage_evenly
	
Distribute flow percentage equally among the configured flows in given
stream/traffic item.
get_available_flows
	
Get all the configured flows in a given stream/traffic item.
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'for -l47_configuration 'modify_profile_parameters': 'objective_type' |
'objective_value' | 'objective_distribution' | 'stream_id' for
-l47_configuration 'modify_flow_percentage': 'flow_percentage' |
'stream_id' for -l47_configuration 'modify_flow_parameter':
'parameter_id ' | 'parameter_option' | 'parameter_value' | 'stream_id'
for -l47_configuration 'modify_flow_connection_parameter':
'connection_id ' | 'stream_id' for -l47_configuration 'override_flows':
'stream_id ' | 'flow_id' for -l47_configuration 'append_flow':
'stream_id ' | 'flow_id' for -l47_configuration 'remove_flow':
'stream_id' | 'flow_id' for -l47_configuration
'distribute_flows_percentage_evenly': 'stream_id ' for
-l47_configuration 'get_available_flows': 'stream_id'' | value= '1' |",opt,"append_flow,distribute_flows_percentage_evenly,get_available_flows,modify_flow_connection_parameter,modify_flow_parameter,modify_flow_percentage,modify_profile_parameters,override_flows,remove_flow",IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
name,"Stream string identifier/name. If this name contains spaces, the spaces
will be translated to underscores and a warning will be displayed. The
string name must not contain commas.
DEFAULT
	None",any,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
circuit_endpoint_type,"This argument can be used to specify the endpoint type that will be used
to generate traffic.
Valid options are:
ipv4_application_traffic
	
Select this option if the endpoint supports IPv4 application traffic
generation.
ipv6_application_traffic
	
Select this option if the endpoint supports IPv6 application traffic
generation.
DEFAULT
	
ipv4_application_traffic",opt,"ipv4_application_traffic,ipv6_application_traffic",IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
emulation_src_handle,"The handle used to retrieve information for L2 or L3 source addresses
and use them to configure the sources for traffic. This should be the
emulation handle that was obtained after configuring NGPF protocols.
This parameter can be provided with a list or with a list of lists elements.
DEFAULT
	None",any,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
emulation_dst_handle,"The handle used to retrieve information for L2 or L3 source addresses
and use them to configure the destinations for traffic. This should be
the emulation handle that was obtained after configuring NGPF protocols.
This parameter can be provided with a list or with a list of lists elements.
DEFAULT
	None",any,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
emulation_scalable_src_handle,"An array which contains lists of handles used to retrieve information
for L3 src addresses, indexed by the endpointset to which they
correspond. This should be a handle that was obtained after configuring
protocols with commands from the ::ixia_hlapi_framework:: namespace.
This parameter can be used in conjunction with emulation_src_handle.
DEFAULT
	None",any,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
emulation_scalable_src_port_start,"An array which contains lists of numbers that encode the index of the
first port on which the corresponding endpointset will be configured.
This parameter will be ignored if no corresponding value is specified
for emulation_scalable_src_handle.
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'emulation_scalable_src_handle' | value= '1' |",numeric,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
emulation_scalable_src_port_count,"An array which contains lists of numbers that encode the number of ports
on which the corresponding endpointset will be configured. This
parameter will be ignored if no corresponding value is specified for
emulation_scalable_src_handle.
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'emulation_scalable_src_handle' | value= '1' |",numeric,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
emulation_scalable_src_intf_start,"An array which contains lists of numbers that encode the index of the
first interface on which the corresponding endpointset will be
configured. This parameter will be ignored if no corresponding value is
specified for emulation_scalable_src_handle.
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'emulation_scalable_src_handle' | value= '1' |",numeric,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
emulation_scalable_src_intf_count,"An array which contains lists of numbers that encode the number of
interfaces on which the corresponding endpointset will be configured.
This parameter will be ignored if no corresponding value is specified
for emulation_scalable_src_handle.
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'emulation_scalable_src_handle' | value= '1' |",numeric,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
emulation_scalable_dst_handle,"An array which contains lists of handles used to retrieve information
for L3 dst addresses, indexed by the endpointset to which they
correspond. This should be a handle that was obtained after configuring
protocols with commands from the ::ixia_hlapi_framework:: namespace.
This parameter can be used in conjunction with emulation_dst_handle.
DEFAULT
	None",any,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
emulation_scalable_dst_port_start,"An array which contains lists of numbers that encode the index of the
first port on which the corresponding endpointset will be configured.
This parameter will be ignored if no corresponding value is specified
for emulation_scalable_dst_handle.
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'emulation_scalable_dst_handle' | value= '1' |",numeric,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
emulation_scalable_dst_port_count,"An array which contains lists of numbers that encode the number of ports
on which the corresponding endpointset will be configured. This
parameter will be ignored if no corresponding value is specified for
emulation_scalable_dst_handle.
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'emulation_scalable_dst_handle' | value= '1' |",numeric,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
emulation_scalable_dst_intf_start,"An array which contains lists of numbers that encode the index of the
first interface on which the corresponding endpointset will be
configured. This parameter will be ignored if no corresponding value is
specified for emulation_scalable_dst_handle.
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'emulation_scalable_dst_handle' | value= '1' |",numeric,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
emulation_scalable_dst_intf_count,"An array which contains lists of numbers that encode the number of
interfaces on which the corresponding endpointset will be configured.
This parameter will be ignored if no corresponding value is specified
for emulation_scalable_dst_handle.
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'emulation_scalable_dst_handle' | value= '1' |",numeric,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
objective_type,"sets objective type.
Valid options are:
users
	
tputkb
	
tputmb
	
tputgb
	
DEFAULT
	
users",opt,"tputgb,tputkb,tputmb,users",IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
objective_value,"sets objective value.
DEFAULT
	None",numeric,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
objective_distribution,"sets objective distribution.
Valid options are:
apply_full_objective_to_each_port
	
split_objective_evenly_among_ports
	
DEFAULT
	
apply_full_objective_to_each_port",opt,"apply_full_objective_to_each_port,split_objective_evenly_among_ports",IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
enable_per_ip_stats,"enables/disables per IP statistics.
DEFAULT
	None",bool_opt,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
flows,"sets flows to be configured when create a traffic application profile.
DEFAULT
	None",any,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
flow_percentage,"Amount of traffic to be generated for this flow in percentage.
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'flow_id' | value= '1' |",any,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
flow_id,"Name of the Application Library flow ( e.g. HTTP_Request).
DEFAULT
	None",any,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
connection_id,"Application library flow connection identifier ( e.g. 1).
DEFAULT
	None",numeric,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
parameter_id,"Application library flow parameter identifier ( e.g. enableProxyPort).
DEFAULT
	None",any,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
parameter_option,"Each parameter has one or multiple options. This options are: value,
choice and range.
Valid options are:
value
	
single value. To be used when parameter takes a single value.
choice
	
choice of values. To be used when parameter takes a value from choice of
values.
range
	
range of value. To be used when parameter takes a value between range of
values.
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'parameter_id' | value= '1' |",opt,"choice,range,value",IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
parameter_value,"For each parameter a value can be assigned. The parameters are runtime
specific and can accommodate the following types:
Valid options are:
numeric
	
when the value is in number format
bool
	
when the value is a boolean value, true or false
string
	
when the value is a word
hex
	
when the value is in hex format
choice
	
when the value is selected from a list of available options
range
	
when specifying a range value, this value must be in format min-max,
where min and max are numeric values
DEFAULT
	None
DEPENDENCIES
	
Valid in combination with parameter(s)
'parameter_option' | value= '1' |",opt,"bool,choice,hex,numeric,range,string",IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
