Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
mode,"Type of statistics to collect. Valid choices are:
Valid options are:
add_atm_stats: Adds the vpi/vci pair to gather both rx and tx statistics. The number of tx stats that can be tracked is less than the number of rx stats that can be tracked. This option is valid only if -traffic_generator is set to ixos.
add_atm_stats_rx: Adds the vpi/vci pair to gather rx statistics. The number of tx stats that can be tracked is less than the number of rx stats that can be tracked. This option is valid only if -traffic_generator is set to ixos.
add_atm_stats_tx: Adds the vpi/vci pair to gather tx statistics. The number of tx stats that can be tracked is less than the number of rx stats that can be tracked. This option is valid only if -traffic_generator is set to ixos.
aggregate: Gathers per port aggregated stats. This option is valid only if -traffic_generator is set to ixos or ixnetwork or ixnetwork_540 and streams where generated either with IxOS/IxNetwork.
all: Gathers all the statistics available for the specific -traffic_generator option.Note: This mode is applicable only for L2/L3 Traffic.
faststream: Not implemented.
flow: Gathers per flow stats. This option is valid only if -traffic_generator is set to ixnetwork or ixnetwork_540 and streams were generated with IxNetwork.
igmp_over_ppp: Not supported.
l23_test_summary: Available only for IxNetwork TCL API. This mode retrieves layer 2-3 statistics agreagated across all ports (parameter port_handle is ignored in this mode). The equivalent from IxNetwork GUI is """"""""L2-L3 Test Summary Statistics"""""""" view. This option is valid only if -traffic_generator is set to ixnetwork_540.
multicast: Not supported.
out_of_filter: Not implemented.
per_port_flows: Ability to retrieve per flow information using HLTAPI. Valid only for traffic generator ixnetwork or ixnetwork_540.session - Not supported.
stream: Gathers per stream stats. This option is valid only if -traffic_generator is set to ixos and streams were generated with IxOS or parameter -traffic_generator is set to ixnetwork or ixnetwork_540 and streams were generated with IxNetwork.
streams: This is the same as stream option. Deprecated.
egress_by_port: Available only for IxNetwork TCL API. Parameter port_handle is mandatory for this mode. If egress tracking was configured on the port_handle port this mode retrieves egress tracking statistics for this port. This is available with -traffic_generator ixnetwork and ixnetwork_540.
egress_by_flow: Available only for IxNetwork TCL API. Parameter port_handle is mandatory for this mode. If egress tracking was configured on the port_handle port this mode retrieves egress tracking statistics for the flows on port_handle port. This is available with -traffic_generator ixnetwork and ixnetwork_540.
data_plane_port: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieve per port data plane statistics.
traffic_item: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieve statistics per traffic item. The statistics can be filtered using parameter -stream with one or a list of values. The values must be traffic_items returned by procedure ::<namespace>::traffic_config.
user_defined_stats: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieve user defined statitics. The statistics can be filtered using parameters starting with -uds_... with one or a list of values. Available starting with HLT API 3.80.
application_FTP: Deprecated value, previously used for AppLib Legacy Traffic
application_HTTP: Deprecated value, previously used for AppLib Legacy Traffic
application_TELNET: Deprecated value, previously used for AppLib Legacy Traffic
application_SMTP: Deprecated value, previously used for AppLib Legacy Traffic
application_IMAP: Deprecated value, previously used for AppLib Legacy Traffic
application_POP3: Deprecated value, previously used for AppLib Legacy Traffic
application_TriplePlay: Deprecated value, previously used for AppLib Legacy Traffic
application_SIP: Deprecated value, previously used for AppLib Legacy Traffic
application_Video: Deprecated value, previously used for AppLib Legacy Traffic
application_RTSP: Deprecated value, previously used for AppLib Legacy Traffic

Type of statistics to collect. Valid choices are:
Valid options are:
add_atm_stats"""""""" Adds the vpi/vci pair to gather both rx and tx statistics. The number of tx stats that can be tracked is less than the number of rx stats that can be tracked. This option is valid only if -traffic_generator is set to ixos.
add_atm_stats_rx: Adds the vpi/vci pair to gather rx statistics. The number of tx stats that can be tracked is less than the number of rx stats that can be tracked. This option is valid only if -traffic_generator is set to ixos.
add_atm_stats_tx: Adds the vpi/vci pair to gather tx statistics. The number of tx stats that can be tracked is less than the number of rx stats that can be tracked. This option is valid only if -traffic_generator is set to ixos.
aggregate: Gathers per port aggregated stats. This option is valid only if -traffic_generator is set to ixos or ixnetwork or ixnetwork_540 and streams where generated either with IxOS/IxNetwork.
all: Gathers all the statistics available for the specific -traffic_generator option.Note: This mode is applicable only for L2/L3 Traffic.
faststream: Not implemented.
flow: Gathers per flow stats. This option is valid only if -traffic_generator is set to ixnetwork or ixnetwork_540 and streams were generated with IxNetwork.
igmp_over_ppp: Not supported.
l23_test_summary: Available only for IxNetwork TCL API. This mode retrieves layer 2-3 statistics agreagated across all ports (parameter port_handle is ignored in this mode). The equivalent from IxNetwork GUI is """"""""L2-L3 Test Summary Statistics"""""""" view. This option is valid only if -traffic_generator is set to ixnetwork_540.
multicast: Not supported.
out_of_filter: Not implemented.
per_port_flows: Ability to retrieve per flow information using HLTAPI. Valid only for traffic generator ixnetwork or ixnetwork_540.session - Not supported.
stream: Gathers per stream stats. This option is valid only if -traffic_generator is set to ixos and streams were generated with IxOS or parameter -traffic_generator is set to ixnetwork or ixnetwork_540 and streams were generated with IxNetwork.
streams: This is the same as stream option. Deprecated.
egress_by_port: Available only for IxNetwork TCL API. Parameter port_handle is mandatory for this mode. If egress tracking was configured on the port_handle port this mode retrieves egress tracking statistics for this port. This is available with -traffic_generator ixnetwork and ixnetwork_540.
egress_by_flow: Available only for IxNetwork TCL API. Parameter port_handle is mandatory for this mode. If egress tracking was configured on the port_handle port this mode retrieves egress tracking statistics for the flows on port_handle port. This is available with -traffic_generator ixnetwork and ixnetwork_540.
data_plane_port: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieve per port data plane statistics.
traffic_item: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieve statistics per traffic item. The statistics can be filtered using parameter -stream with one or a list of values. The values must be traffic_items returned by procedure ::<namespace>::traffic_config.
user_defined_stats: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieve user defined statitics. The statistics can be filtered using parameters starting with -uds_... with one or a list of values. Available starting with HLT API 3.80.
application_FTP: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieves FTP statitics for L4/L7 traffic. The statistics are retrieved from the following stat views. Available starting with HLT API 4.70. csv is the only supported return method for this mode.Retrieved Stat Views: FTP Client - ObjectivesFTP Client - Throughput ObjectiveFTP Client - Connection RatesFTP Client - ConnectionsFTP Client - LatenciesFTP Client - File Upload Download RatesFTP Client - TCP ConnectionsFTP Client - TCP FailuresFTP Server - Connection RatesFTP Server - ConnectionsFTP Server - Connection LatencyFTP Server - Data RatesFTP Server - File Upload Download RatesFTP Server - TCP ConnectionsFTP Server - TCP Failures
application_HTTP: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieves HTTP statitics for L4/L7 traffic. The statistics are retrieved from the following stat views. Available starting with HLT API 4.70. csv is the only supported return method for this mode.Retrieved Stat Views: HTTP Client - TCP ConnectionsHTTP Client - TCP FailuresHTTP Client - Per URLHTTP Client - SSL Handshake statsHTTP Client - SSL ThroughputHTTP Client - SSL Warning AlertsHTTP Client - SSL Fatal AlertsHTTP Client - SSLv2 ErrorsHTTP Server - Transaction RatesHTTP Server - TransactionsHTTP Server - Data RatesHTTP Server - Responses SentHTTP Server - HTTP FailuresHTTP Server - TCP ConnectionsHTTP Server - TCP FailuresHTTP Server - Per IPv4 Per URLHTTP Server - SSL Handshake StatsHTTP Server - SSL ThroughputHTTP Server - SSL Warning AlertsHTTP Server - SSL Fatal AlertsHTTP Server - SSLv2 Errors
application_TELNET: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieves TELNET statitics for L4/L7 traffic. The statistics are retrieved from the following stat views. Available starting with HLT API 4.70. csv is the only supported return method for this mode. Retrieved Stat Views: Telnet Client - ObjectivesTelnet Client - Throughput ObjectiveTelnet Client - Echo OptionTelnet Client - Suppress Go Ahead OptionTelnet Client - Line Mode OptionTelnet Client - SessionsTelnet Client - TCP ConnectionsTelnet Client - TCP FailuresTelnet Server - ThroughputTelnet Server - Echo OptionTelnet Server - Suppress Go Ahead OptionTelnet Server - SessionsTelnet Server - Line Mode OptionTelnet Server - TCP ConnectionsTelnet Server - TCP Failures
application_SMTP: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieves SMTP statitics for L4/L7 traffic. The statistics are retrieved from the following stat views. Available starting with HLT API 4.70. csv is the only supported return method for this mode. Retrieved Stat Views: SMTP Client - ObjectivesSMTP Client - Throughput ObjectiveSMTP Client - Session RatesSMTP Client - SessionsSMTP Client - Mail RatesSMTP Client - MailsSMTP Client - TCP ConnectionsSMTP Client - TCP FailuresSMTP Server - Session RatesSMTP Server - SessionsSMTP Server - Data RatesSMTP Server - Mail RatesSMTP Server - MailsSMTP Server - TCP ConnectionsSMTP Server - TCP Failures
application_IMAP: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieves IMAP statitics for L4/L7 traffic. The statistics are retrieved from the following stat views. Available starting with HLT API 4.70. csv is the only supported return method for this mode. Retrieved Stat Views: IMAP Client - ObjectivesIMAP Client - Throughput ObjectiveIMAP Client - Session RatesIMAP Client - Commands SentIMAP Client - Commands SuccessfullIMAP Client - Commands FailedIMAP Client - Commands AbortedIMAP Client - Total Mails ReceivedIMAP Server - Commands ReceivedIMAP Server - Responses SentIMAP Server - FailuresIMAP Server - ThroughputIMAP Server - Session RatesIMAP Server - Total Mails and Attachments Sent
application_POP3: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieves POP3 statitics for L4/L7 traffic. The statistics are retrieved from the following stat views. Available starting with HLT API 4.70. csv is the only supported return method for this mode. Retrieved Stat Views: POP3 Client - Mail RatesPOP3 Client - MailsPOP3 Client - ObjectivesPOP3 Client - Session RatesPOP3 Client - SessionsPOP3 Client - TCP ConnectionsPOP3 Client - TCP FailuresPOP3 Client - Throughput ObjectivePOP3 Server - Data RatesPOP3 Server - Mail RatesPOP3 Server - MailsPOP3 Server - Session RatesPOP3 Server - SessionsPOP3 Server - TCP ConnectionsPOP3 Server - TCP Failures
application_TriplePlay: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieves TriplePlay statitics for L4/L7 traffic. The statistics are retrieved from the following stat views. Available starting with HLT API 4.70. csv is the only supported return method for this mode. Retrieved Stat Views: FTP Client - ObjectivesFTP Client - Throughput ObjectiveFTP Client - Connection RatesFTP Client - ConnectionsFTP Client - LatenciesFTP Client - File Upload Download RatesFTP Client - TCP ConnectionsFTP Client - TCP FailuresFTP Server - Connection RatesFTP Server - ConnectionsFTP Server - Connection LatencyFTP Server - Data RatesFTP Server - File Upload Download RatesFTP Server - TCP ConnectionsFTP Server - TCP FailuresHTTP Client - ObjectivesHTTP Client - Throughput ObjectiveHTTP Client - Transaction RatesHTTP Client - TransactionsHTTP Client - LatenciesHTTP Client - 1xx, 2xx and 3xx ResponsesHTTP Client - HTTP FailuresHTTP Client - TCP ConnectionsHTTP Client - TCP FailuresHTTP Client - Per URLHTTP Client - SSL Handshake statsHTTP Client - SSL ThroughputHTTP Client - SSL Warning AlertsHTTP Client - SSL Fatal AlertsHTTP Client - SSLv2 ErrorsHTTP Server - Transaction RatesHTTP Server - TransactionsHTTP Server - Data RatesHTTP Server - Responses SentHTTP Server - HTTP FailuresHTTP Server - TCP ConnectionsHTTP Server - TCP FailuresHTTP Server - Per IPv4 Per URLHTTP Server - SSL Handshake StatsHTTP Server - SSL ThroughputHTTP Server - SSL Warning AlertsHTTP Server - SSL Fatal AlertsHTTP Server - SSLv2 ErrorsSIP Client - ObjectivesSIP Client - Busy Hour Call AttemptsSIP Client - TransactionsSIP Client - Sent MessagesSIP Client - Received MessagesSIP Client - TCPSIP Client - RTPSIP Client - RTP JitterSIP Client - RTP Per CallSIP Server - CallsSIP Server - TransactionsSIP Server - Sent MessagesSIP Server - Received MessagesSIP Server - TCPSIP Server - RTPSIP Server - RTP JitterSIP Server - RTP Per CallVideo Client - ObjectivesVideo Client - Active ChannelsVideo Client - Multicast Channel RequestsVideo Client - VoD Channel RequestsVideo Client - Report SummaryVideo Client - Jitter DistributionVideo Client - Inter Packet Arrival Time DistributionVideo Client - Packet Latency DistributionVideo Client - Per StreamVideo Client - RTSP CommandsVideo Client - Data RatesVideo Client - LatencyVideo Client - Data ErrorsVideo Client - Error MessagesVideo Client - Packet Size DistributionVideo Server - Active StreamsVideo Server - RTSP TotalsVideo Server - Stream Bit RatesVideo Server - Data RatesVideo Server - Error Stats
application_SIP: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieves SIP statitics for L4/L7 traffic. The statistics are retrieved from the following stat views. Available starting with HLT API 4.70. csv is the only supported return method for this mode. Retrieved Stat Views: SIP Client - ObjectivesSIP Client - Busy Hour Call AttemptsSIP Client - TransactionsSIP Client - Sent MessagesSIP Client - Received MessagesSIP Client - TCPSIP Client - RTPSIP Client - RTP JitterSIP Client - RTP Per CallSIP Server - CallsSIP Server - TransactionsSIP Server - Sent MessagesSIP Server - Received MessagesSIP Server - TCPSIP Server - RTPSIP Server - RTP JitterSIP Server - RTP Per Call
application_Video: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieves video statitics for L4/L7 traffic. The statistics are retrieved from the following stat views. Available starting with HLT API 4.70. csv is the only supported return method for this mode. Retrieved Stat Views: Video Client - ObjectivesVideo Client - Active ChannelsVideo Client - Multicast Channel RequestsVideo Client - VoD Channel RequestsVideo Client - Report SummaryVideo Client - Jitter DistributionVideo Client - Inter Packet Arrival Time DistributionVideo Client - Packet Latency DistributionVideo Client - Per StreamVideo Client - RTSP CommandsVideo Client - Data RatesVideo Client - LatencyVideo Client - Data ErrorsVideo Client - Error MessagesVideo Client - Packet Size DistributionVideo Server - Active StreamsVideo Server - RTSP TotalsVideo Server - Stream Bit RatesVideo Server - Data RatesVideo Server - Error Stats
application_RTSP: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieves RTSP statitics for L4/L7 traffic. The statistics are retrieved from the following stat views. Available starting with HLT API 4.70. csv is the only supported return method for this mode. Retrieved Stat Views: RTSP Client - ObjectivesRTSP Client - Presentation RatesRTSP Client - PresentationsRTSP Client - LatenciesRTSP Client - Play Latency DistributionRTSP Client - RTP Jitter DistributionRTSP Client - RTP Packet Loss DistributionRTSP Client - Data RatesRTSP Client - TCP ConnectionsRTSP Client - TCP FailuresRTSP Server - Presentation RatesRTSP Server - PresentationsRTSP Server - Play latencyRTSP Server - Data RatesRTSP Server - Response CodesRTSP Server - TCP ConnectionsRTSP Server - TCP Failures
L47_traffic_item: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieves L4-7 Applibrary traffic item statistics. The statistics are retrieved from the following stat views. Available starting with HLT API 4.80. Retrieved Stat Views: Application Traffic Item Statistics
L47_flow_initiator: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieves L4-7 Applibrary traffic flow initiator statistics. The statistics are retrieved from the following stat views. Available starting with HLT API 4.80. Retrieved Stat Views: Application Flow Initiator Statistics
L47_flow_responder: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieves L4-7 Applibrary traffic flow responder statistics. The statistics are retrieved from the following stat views. Available starting with HLT API 4.80. Retrieved Stat Views: Application Flow Responder Statistics
L47_traffic_item_tcp: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieves L4-7 Applibrary traffic item TCP statistics. The statistics are retrieved from the following stat views. Available starting with HLT API 4.80. Retrieved Stat Views: Application Traffic Item TCP Statistics
L47_flow_initiator_tcp: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieves L4-7 Applibrary traffic flow TCP initiator statistics. The statistics are retrieved from the following stat views. Available starting with HLT API 4.80. Retrieved Stat Views: Application Flow Initiator TCP Statistics
L47_listening_port_tcp: Available only for IxNetwork TCL API with traffic_generator ixnetwork_540. Retrieves L4-7 Applibrary traffic flow TCP responder statistics. The statistics are retrieved from the following stat views. Available starting with HLT API 4.80. Retrieved Stat Views: Application Flow Responder TCP Statistics",opt,"add_atm_stats, add_atm_stats_tx, add_atm_stats_rx, aggregate, application_FTP, application_HTTP, application_IMAP, application_POP3, application_RTSP, application_SIP, application_SMTP, application_TELNET, application_TriplePlay, application_Video, data_plane_port, egress_by_flow, egress_by_port, faststream, flow, igmp_over_ppp, l23_test_summary, multicast, out_of_filter, per_port_flows, session, stream, streams, traffic_item, user_defined_stats, add_atm_stats, add_atm_stats_tx, add_atm_stats_rx, aggregate, application_FTP, application_HTTP, application_IMAP, application_POP3, application_RTSP, application_SIP, application_SMTP, application_TELNET, application_TriplePlay, application_Video, data_plane_port, egress_by_flow, egress_by_port, faststream, flow, igmp_over_ppp, l23_test_summary, multicast, out_of_filter, per_port_flows, session, stream, streams, traffic_item, user_defined_stats, all, add_atm_stats, add_atm_stats_tx, add_atm_stats_rx, aggregate, application_FTP, application_HTTP, application_IMAP, application_POP3, application_RTSP, application_SIP, application_SMTP, application_TELNET, application_TriplePlay, application_Video, data_plane_port, egress_by_flow, egress_by_port, faststream, flow, igmp_over_ppp, l23_test_summary, multicast, out_of_filter, per_port_flows, session, stream, streams, traffic_item, user_defined_stats, L47_traffic_item, L47_flow_initiator, L47_flow_responder, L47_traffic_item_tcp, L47_flow_initiator_tcp, L47_listening_port_tcp","IxNetwork, IxOS/IxNetwork-FT, IxNetwork-NGPF",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,#NAME?
port_handle,"Depending on the traffic_generator value, this option has different meanings. If traffic_generator ixnetwork_540 is used this parameter is used ixos/ixnetwork_540 - The port for which to configure traffic. Mandatory for -mode create/reset when -traffic_generator is set to ixos. For traffic_generator ixnetwork_540 this is mandatory on mode create only if parameter -emulation_src_handle is missing.ixnetwork/ixnetwork_540 - The port_handle parameter is not necessary anymore. When using IxNetwork, traffic configurations will be done using previously created handles (IP interfaces, PPP ranges, L2TP ranges, Protocol Route Ranges etc.) as sources (parameter -emulation_src_handle) and destinations (-emulation_dst_handle).",port,,"IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-port_handle 1/2
streams,"Stream ID on which to gather statistics.Valid for traffic_generator ixos/ixnetwork/ixnetwork_540 and -mode set to stream/all. The stream_id is the stream_id returned by traffic_config command. If traffic_generator is ixos, then the stream ID is a numeric value. If traffic_generator is ixnetwork/ixnetwork_540, then the stream ID is a string with the following regular expression: ^TI[0-9]+\-(.)*$.",streams_id,,"IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-streams 33
stream,"Stream ID on which to gather statistics (deprecated).Valid for traffic_generator ixos/ixnetwork/ixnetwork_540 and -mode set to stream/all. If traffic_generator is ixos, then the stream ID is a numeric value. If traffic_generator is ixnetwork/ixnetwork_540, then the stream ID is a string with the following regular expression: ^TI[0-9]+\-(.)*$.",stream_id,,"IxNetwork, IxOS/IxNetwork-FT",universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,-stream 33
atm_counter_vpi_data_item_list,"If the -atm_counter_vpi_type option is set to table, this list is used for the set of values (default ''). Valid only for traffic_generator ixos.",any,,IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
atm_counter_vci_data_item_list,"If the -atm_counter_vci_type option is set to table, this list is used for the set of values (default ''). Valid only for traffic_generator ixos.",any,,IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
atm_counter_vpi_mode,"If the -atm_counter_vci_type option is set to counter, this indicates what counter mode should be used (default incr). Currently only the incr and decr mode are supported. Valid only for traffic_generator ixos.",opt,"incr,decr",IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
atm_counter_vci_mode,"If the -atm_counter_vpi_type option is set to counter, this indicates what counter mode should be used (default incr). Valid only for traffic_generator ixos.",opt,"incr,decr",IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
atm_counter_vpi_type,"The type of counter to use on the vpi (default fixed). Currently only fixed, counter, and table are supported. Valid only for traffic_generator ixos.",opt,"fixed,counter,table",IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
atm_counter_vci_type,"The type of counter to use on the vci (default fixed). Currently only fixed, counter, and table are supported. Valid only for traffic_generator ixos.",opt,"fixed,counter,table",IxOS/IxNetwork-FT,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
