Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
port_handle,"Port handle or list of port handles on which to configure the user
defined statistic counters.
DEFAULT
	None",any,,IxNetwork[M],universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
DA1,"Configure the MAC destination address 1 filter.
DEFAULT
	None",mac,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
DA2,"Configure the MAC destination address 2 filter.
DEFAULT
	None",mac,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
DA_mask1,"Configure the MAC destination address 1 mask filter.
DEFAULT
	None",mac,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
DA_mask2,"Configure the MAC destination address 2 mask filter.
DEFAULT
	None",mac,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
pattern1,"Configure the pattern1 hex filter.
DEFAULT
	None",hex,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
pattern2,"Configure the pattern2 hex filter.
DEFAULT
	None",hex,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
pattern_mask1,"Configure the pattern1 mask.
DEFAULT
	None",hex,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
pattern_mask2,"Configure the pattern2 mask.
DEFAULT
	None",hex,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
pattern_offset1,"Offset for pattern1 in bytes.
DEFAULT
	None",numeric,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
pattern_offset2,"Offset for pattern2 in bytes.
DEFAULT
	None",numeric,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
pattern_offset_type1,"Not defined
Valid options are:
startOfFrame
	
(default) Offset from the start of the frame.
startOfIp
	
Offset from the start of the IP header
startOfProtocol
	
Offset from the start of the protocol
x
	
Offset from the start of the protocol
startOfSonet
	
Offset from the start of the SONET frame.
DEFAULT
	None",opt,"startOfFrame,startOfIp,startOfProtocol,startOfSonet",IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
pattern_offset_type2,"Not defined
Valid options are:
startOfFrame
	
(default) Offset from the start of the frame.
startOfIp
	
Offset from the start of the IP header
startOfProtocol
	
Offset from the start of the protocol
x
	
Offset from the start of the protocol
startOfSonet
	
Offset from the start of the SONET frame.
DEFAULT
	None",opt,"startOfFrame,startOfIp,startOfProtocol,startOfSonet",IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
SA2,"Configure the MAC source address 2 filter.
DEFAULT
	None",mac,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
SA_mask1,"Configure the MAC source address 1 mask filter.
DEFAULT
	None",mac,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
SA_mask2,"Configure the MAC source address 2 mask filter.
DEFAULT
	None",mac,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
clone_capture_filter,"Enable copy of the filter pallette configured with
::::packet_config_filter.
Valid options are:
0
	
(default) Do not copy the capture filter pallette
1
	
Copy the capture filter pallette settings for the options that were not
specified
x
	
Copy the capture filter pallette settings for the options that were not
specified
DEFAULT
	None",bool_opt,,IxNetwork,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
