Arguments,Description,Parameter,Constants,Supported,Type,Ixia Version,Spirent Version,Return Values,Example
create_ig,"If enabled creates behind the VXLAN device group a chained device group
with IPv4 and Ethernet stacks emulating the connected VMs. If not
enabled only the VXLAN device group will be created. Valid options: 0 -
Disabled 1 - Enabled This option is valid only when -mode is create and
-handle is an port handle. This option is available only when IxNetwork
tcl API is used.
DEFAULT
	
0
DEPENDENCIES
	
Valid in combination with parameter(s)
'mode' | value= 'create' |",bool_opt,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
enable_resolve_gateway,"Autoresolve gateway MAC addresses. This option is available only if
-mode is create. Valid for IxTclNetwork.
DEFAULT
	
1",bool_opt,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
enable_static_info,"Enable Unicast Info.
DEFAULT
	None",bool_opt,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
gateway,"The IP address of the Gateway for the Interface Interface. This option
is available only if -mode is create. Valid for IxTclNetwork.
DEFAULT
	
100.1.0.1",ip,,IxNetwork-NGPF,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
gateway_step,"This parameter is not valid on mode modify when IxTclProtocol is used.
What step will be use for incrementing the -gateway option. This option
is available only if -mode is create. Valid for IxTclNetwork.
DEFAULT
	
0.0.0.0",ip,,IxNetwork-NGPF,universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
handle,"Specifies the port and group upon which emulation is configured. If the
-mode is 'modify', -handle specifies the group upon which emulation is
configured, otherwise it specifies the session upon which emulation is
configured. Valid for IxTclNetwork' (IxTclHal is not supported) .
DEFAULT
	None",any,,IxNetwork-NGPF[M],universal,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
ig_enable_resolve_gateway,"Autoresolve gateway MAC addresses. Argument configures the IPv4 stack of
the chained device group/VMs. This option is available only if -mode is
create. Valid for IxTclNetwork.
DEFAULT
	
1",bool_opt,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
ig_gateway,"The IP address of the Gateway. Argument configures the IPv4 stack of the
chained device group/VMs. This option is available only if -mode is
create. Valid for IxTclNetwork.
DEFAULT
	
102.1.0.1",ip,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
ig_gateway_step,"What step will be use for incrementing the -ig_gateway option. Argument
configures the IPv4 stack of the chained device group/VMs. This option
is available only if -mode is create. Valid for IxTclNetwork.
DEFAULT
	
0.0.0.0",ip,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
ig_intf_ip_addr,"List of IP addresses that configure each of the traffic generation tool
interfaces. If -sessions_per_vxlan is > 1, this IP address will
increment by value specified in -ig_intf_ip_addr_step. Argument
configures the IPv4 stack of the chained device group/VMs. This option
is available only if -mode is create. Valid for IxTclNetwork.
DEFAULT
	
102.1.0.2",ipv4,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
ig_intf_ip_addr_step,"This value will be used for incrementing the IP address if -count is >
1. Argument configures the IPv4 stack of the chained device group/VMs.
This option is available only if -mode is create. Valid for IxTclNetwork.
DEFAULT
	
0.0.0.0",ipv4,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
ig_intf_ip_prefix_length,"Defines the mask of the IP address used for the Ixia (-intf_ip_addr) and
the DUT interface. The range of the value is 1-32. Argument configures
the IPv4 stack of the chained device group/VMs. This option is available
only if -mode is create. Valid for IxTclNetwork.
DEFAULT
	
24",range,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
ig_mac_address_init,"The MAC address for the interface to be created. Argument configures the
Ethernet stack of the chained device group/VMs. This option is available
only if -mode is create. Valid for IxTclNetwork.
DEFAULT
	None",mac,,IxNetwork-NGPF,ixia_only,"IxTclNetwork:7.40.929.15,IxTclHal:6.80","unimplemented",,
